id,bucket,failure_types,gold_track,pred_track,protocol_gate_accepted,user_message,gold_output,predicted_output
tp_work_order_read_only_task_val_006,work_order_read_only_task,"track_mismatch, protocol_gate_reject",task,all_null,False,主要想知道上门时间定了没有，只看这个工单就行,"{""task"": {""commands"": [{""command"": ""start_flow"", ""flow"": ""work_order_status_query""}, {""command"": ""set_slots"", ""slots"": {""work_order_id"": ""WO20260601011""}}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": null}"
tp_work_order_read_only_task_val_008,work_order_read_only_task,track_mismatch,task,knowledge,True,麻烦帮我看一下“入户深度保洁”这个项目，想了解它具体是做什么的、包含哪些内容，我就看这一个。,"{""task"": {""commands"": [{""command"": ""start_flow"", ""flow"": ""service_item_detail_query""}, {""command"": ""set_slots"", ""slots"": {""service_item_id"": ""SVC2001""}}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": {""intents"": [""service_item_info""]}, ""chitchat"": null, ""directive"": null}"
tp_work_order_read_only_task_val_009,work_order_read_only_task,"track_mismatch, protocol_gate_reject",task,all_null,False,帮我看下我名下现在有几个工单，我就想确认这个,"{""task"": {""commands"": [{""command"": ""start_flow"", ""flow"": ""resident_work_orders_list_query""}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": null}"
tp_work_order_read_only_task_val_010,work_order_read_only_task,"track_mismatch, protocol_gate_reject",task,knowledge,False,我现在能查到哪些服务项目，麻烦列具体点,"{""task"": {""commands"": [{""command"": ""start_flow"", ""flow"": ""resident_service_items_list_query""}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": {""intents"": [""resident_service_items_list_query""]}, ""chitchat"": null, ""directive"": null}"
tp_work_order_read_only_task_val_011,work_order_read_only_task,track_mismatch,task,knowledge,True,我想单独看看宠物管理这一项，详细点说，别给我讲太泛的,"{""task"": {""commands"": [{""command"": ""start_flow"", ""flow"": ""resident_rule_qa""}, {""command"": ""set_slots"", ""slots"": {""rule_topic"": ""宠物管理""}}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": {""intents"": [""pet_rule""]}, ""chitchat"": null, ""directive"": null}"
tp_work_order_read_only_task_val_014,work_order_read_only_task,track_mismatch,task,knowledge,True,麻烦把净水器滤芯更换这个服务的状态和价格查一下，顺便说清楚是怎么预约的,"{""task"": {""commands"": [{""command"": ""start_flow"", ""flow"": ""service_item_detail_query""}, {""command"": ""set_slots"", ""slots"": {""service_item_id"": ""SVC2007""}}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": {""intents"": [""service_item_info""]}, ""chitchat"": null, ""directive"": null}"
tp_work_order_business_complaint_val_004,work_order_business_complaint,"track_mismatch, protocol_gate_reject",task,all_null,False,这车位地锁报修了几次都没弄好，到底能不能解决了？,"{""task"": {""commands"": [{""command"": ""start_flow"", ""flow"": ""complaint_request_submission""}, {""command"": ""set_slots"", ""slots"": {""work_order_id"": ""WO20260601009"", ""complaint_reason"": ""反复报修还没解决""}}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": null}"
tp_active_task_slot_fill_val_000,active_task_slot_fill,track_mismatch,task,knowledge,True,我想了解入户深度保洁这个项目,"{""task"": {""commands"": [{""command"": ""set_slots"", ""slots"": {""service_item_id"": ""SVC2001""}}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": {""intents"": [""service_item_info""]}, ""chitchat"": null, ""directive"": null}"
tp_active_task_slot_fill_val_006,active_task_slot_fill,"track_mismatch, protocol_gate_reject",task,all_null,False,社区公约这块,"{""task"": {""commands"": [{""command"": ""set_slots"", ""slots"": {""rule_topic"": ""社区公约""}}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": null}"
tp_active_task_slot_fill_val_007,active_task_slot_fill,"track_mismatch, protocol_gate_reject",task,all_null,False,查一下可视对讲检修详情,"{""task"": {""commands"": [{""command"": ""set_slots"", ""slots"": {""service_item_id"": ""SVC2008""}}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": null}"
tp_task_interrupt_resume_cancel_val_001,task_interrupt_resume_cancel,track_mismatch,task,directive,True,算了，投诉那个先不弄了,"{""task"": {""commands"": [{""command"": ""cancel_flow""}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": {""action"": ""exit_runtime""}}"
tp_task_interrupt_resume_cancel_val_005,task_interrupt_resume_cancel,track_mismatch,task,directive,True,算了，这个投诉先放放，不弄了,"{""task"": {""commands"": [{""command"": ""cancel_flow""}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": {""action"": ""exit_runtime""}}"
tp_task_interrupt_resume_cancel_val_006,task_interrupt_resume_cancel,"track_mismatch, protocol_gate_reject",task,all_null,False,这个先停一下，我想改成投诉了，之前说好会上门，结果一直没来,"{""task"": {""commands"": [{""command"": ""start_flow"", ""flow"": ""complaint_request_submission""}, {""command"": ""set_slots"", ""slots"": {""work_order_id"": ""WO20260601011"", ""complaint_reason"": ""说好上门又放了鸽子""}}]}, ""knowledge"": null, ""chitchat"": null, ""directive"": null}","{""task"": null, ""knowledge"": null, ""chitchat"": null, ""directive"": null}"
